date	negative	neutral	positive
20130318	0	2	0
20130320	0	2	2
20130321	0	2	2
20130324	0	2	0
20130331	0	2	0
20130405	0	4	0
20130610	0	2	0
20130611	0	4	0
20130613	0	0	2
20130616	0	2	0
20130625	0	0	2
20130626	0	2	0
20130704	0	2	0
20130805	0	2	0
20130809	0	0	2
20130812	2	0	0
20130818	0	4	0
20130820	0	2	0
20130823	0	0	2
20130826	0	4	0
20130829	0	2	0
20130830	0	2	0
20130903	0	2	0
20130904	0	2	0
20130909	2	2	0
20130910	0	2	0
20130912	0	4	0
20130913	0	2	0
20130917	0	2	0
20130921	0	2	0
20130924	0	2	0
20131001	0	2	0
20140116	0	2	0
