date	negative	neutral	positive
20130401	0	2	1
20130402	0	4	5
20130403	1	0	3
20130404	1	3	1
20130406	1	2	2
20130407	0	3	1
20130408	0	6	0
20130409	0	1	1
20130410	0	3	2
20130411	0	2	0
20130412	0	1	1
20130422	1	2	1
20130423	0	5	2
20130424	1	4	1
20130425	0	1	1
20130426	0	1	0
20130427	0	2	0
20130428	0	1	0
20130429	0	2	2
20130502	0	0	1
20130503	0	0	3
20130504	0	8	2
20130505	0	1	1
20130506	0	2	2
20130507	0	3	0
20130509	0	1	2
20130511	0	1	1
20130512	0	0	1
20130513	0	1	0
20130518	0	2	1
20130519	0	1	0
20130520	0	2	1
20130521	0	2	0
20130522	0	3	0
20130523	0	2	2
20130524	0	2	1
20130525	0	7	3
20130526	1	14	9
20130527	1	6	3
20130528	0	2	2
20130529	1	12	10
20130530	0	6	1
20130531	0	1	0
20130601	1	6	1
20130602	0	6	0
20130603	0	3	0
20130619	0	3	2
20130620	0	1	0
20130706	0	1	0
20130710	0	4	0
20130711	0	1	0
20130712	0	1	0
20130714	0	0	1
20130715	2	5	2
20130716	1	4	1
20130719	0	1	0
20130720	0	1	0
20130721	0	1	2
20130722	0	6	1
20130723	0	0	1
20130724	1	1	2
20130725	0	3	0
20130726	0	1	1
20130727	0	3	0
20130728	2	0	2
20130729	0	6	2
20130730	0	4	3
20130731	2	5	7
20130801	0	4	1
20130802	1	5	3
20130803	1	7	1
20130804	1	8	3
20130805	0	4	4
20130806	4	6	4
20130807	0	0	2
20130809	1	4	3
20130811	0	0	1
20130812	0	2	0
20130815	0	1	1
20130819	0	0	1
20130826	0	5	2
20130827	1	1	2
20130828	0	1	1
20130829	0	1	0
20130901	1	0	3
20130904	0	1	0
20130905	0	0	1
20130907	0	1	0
20130908	1	1	1
20130909	0	4	1
20130912	0	2	2
20130914	1	1	0
20130917	0	1	0
20130924	1	1	0
20131006	0	0	1
20131009	1	2	0
20131011	1	1	1
20131012	0	1	0
20131015	1	0	1
20131022	0	0	2
20131102	0	1	0
20131109	1	1	1
20131112	0	0	1
20131113	0	4	1
20131209	0	8	6
20131210	0	2	0
20131213	0	1	0
20131214	0	2	0
20131219	0	1	0
20131220	0	1	0
20131221	0	2	0
20131224	0	0	1
20131227	0	1	1
20140101	1	0	1
20140103	0	3	0
20140105	0	1	1
20140108	0	1	2
20140109	2	3	6
20140110	0	1	1
20140111	1	3	2
20140113	0	0	1
20140114	0	1	2
20140117	1	0	1
20140121	0	0	1
20140122	0	0	3
20140123	1	2	1
20140124	0	1	0
20140125	0	5	1
20140126	0	0	1
20140128	3	4	5
20140131	0	2	1
20140201	0	2	0
20140202	0	1	4
20140204	0	1	1
20140205	0	1	3
20140206	3	5	7
20140207	0	2	2
20140208	0	1	0
20140209	0	0	2
20140210	0	1	0
20140211	0	2	1
20140212	0	2	0
20140213	0	2	0
20140214	0	2	1
20140216	0	1	1
20140217	0	3	0
20140218	1	4	2
20140219	0	1	3
20140220	1	1	3
20140221	2	0	0
