date	negative	neutral	positive
20120424	1	0	2
20120425	0	0	1
20120426	0	0	1
20120427	0	0	2
20120430	0	0	1
20120503	0	0	2
20120505	1	0	0
20120506	0	0	1
20120507	0	0	1
20120509	0	0	2
20120515	0	0	1
20120516	1	0	0
20120621	0	0	1
20120703	1	0	0
20120811	0	0	1
20120821	0	0	1
20120822	0	0	2
20120823	0	0	2
20120824	0	0	1
20120826	0	0	1
20120827	0	0	2
20120830	0	0	1
20120905	0	1	0
20120908	0	0	1
20120913	1	0	0
20120917	0	1	0
20120920	0	0	1
20120921	0	1	0
20120923	0	0	1
20120925	0	0	1
20120928	1	2	0
20120929	1	0	1
20121001	0	0	2
20121002	0	0	1
20121003	0	1	0
20121005	0	0	1
20121009	1	1	0
20121011	0	0	1
20121016	0	0	1
20121020	0	0	1
20121024	0	0	1
20121026	0	0	1
20121030	0	0	1
20121031	1	0	0
20121101	0	0	1
20121105	0	0	1
20121106	0	0	2
20121107	0	0	2
20121108	0	1	2
20121109	0	1	0
20121112	0	0	3
20121116	0	0	1
20121118	0	1	0
20121119	0	0	1
20121120	0	1	1
20121121	0	0	1
20121122	0	0	1
20121123	0	1	0
20121124	0	1	0
20121125	1	0	0
20121126	0	1	0
20121127	0	5	0
20121129	0	0	1
20121201	0	0	1
20121203	0	0	2
20121206	0	0	1
20121208	0	1	0
20121218	0	0	1
20121219	0	0	1
20121221	0	0	1
20121231	1	0	0
20130107	0	0	1
20130131	0	0	1
20130206	0	0	1
20130313	0	0	1
20130319	1	0	0
20130323	1	0	0
20130326	0	1	1
20130327	0	0	1
20130330	0	0	1
20130402	1	0	0
20130405	0	0	1
20130425	0	0	1
20130619	0	1	1
20130620	1	0	0
20130621	1	0	0
20130701	0	0	2
20130703	0	0	1
20130705	0	0	1
20130730	2	0	1
20130731	0	1	0
20130802	1	0	0
20130806	0	0	1
20130809	0	0	1
20130818	0	0	1
20130819	0	1	0
20130821	1	0	0
20130822	1	0	1
20130824	0	1	0
20130826	1	0	0
20130830	0	1	0
20130902	0	1	0
20130903	1	0	0
20130906	0	0	1
20130911	1	0	0
20130920	0	0	1
20130929	0	1	0
20131001	0	0	1
20131002	1	0	0
20131007	1	2	0
20131103	0	1	0
20131117	0	0	1
20131119	0	1	0
20131124	1	0	0
